,index,sub_num,block_num,trial_num,task_num,old_num,word,grey,change_time,resp,resp_bin,RT,on_time,trial_time,word_time,cue_duration
0,0,7,1,1,2,0,cylinder,None,None,2,2,1.616484341,6,6.000245758,9.000245758,3
1,1,7,1,2,2,1,wontons,None,None,1,1,1.287921093,14.92792367,14.93403176,17.93403176,3
2,2,7,1,3,3,1,beaker,0,0.61257893,1,1,1.858611076,22.02393968,22.02606771,25.02606771,3
3,3,7,1,4,3,0,cage,0,0.962545601,1,1,1.816904228,30.04604935,30.05145907,33.05145907,3
4,4,7,1,5,1,1,tape,None,None,2,2,1.148326711,36.4100191,36.41008615,39.41008615,3
5,5,7,1,6,3,0,banner,0,0.858706918,1,1,1.525237636,43.19156056,43.19372171,46.19372171,3
6,6,7,1,7,2,1,piano,None,None,1,1,0.759755359,50.68113668,50.68575725,53.68575725,3
7,7,7,1,8,3,0,hamburger,1,0.95925801,1,1,1.566876132,60.06828735,60.06958087,63.06958087,3
8,8,7,1,9,2,0,jeans,None,None,1,1,1.282132479,67.86175899,67.86996149,70.86996149,3
9,9,7,1,10,2,1,staples,None,None,2,2,1.697675466,76.84384638,76.84541236,79.84541236,3
10,10,7,1,11,3,1,vent,1,1.043110174,1,1,1.71691265,84.92294637,84.92912941,87.92912941,3
11,11,7,1,12,3,0,marble,1,0.597041592,1,1,1.250186046,91.76545269,91.77113214,94.77113214,3
12,12,7,1,13,1,0,doorknob,None,None,2,2,1.046708526,99.19541067,99.19649545,102.1964954,3
13,13,7,1,14,1,0,milk,None,None,2,2,0.978294233,105.5622356,105.5634734,108.5634734,3
14,14,7,1,15,2,1,oven,None,None,2,2,1.092256871,111.7545158,111.7554101,114.7554101,3
15,15,7,1,16,3,1,charger,1,1.022162059,1,1,1.616864241,119.9103782,119.9141523,122.9141523,3
16,16,7,1,17,3,1,sweater,0,1.108583767,,,,129.3695535,129.3729714,132.3729714,3
17,17,7,1,18,2,0,crown,None,None,2,2,0.967361606,137.7376639,137.7400484,140.7400484,3
18,18,7,1,19,1,0,doughnut,None,None,2,2,0.881872539,145.6910008,145.6987642,148.6987642,3
19,19,7,1,20,2,1,lantern,None,None,1,1,0.936480122,153.3582297,153.3657858,156.3657858,3
20,20,7,1,21,3,0,cushion,0,0.927149683,1,1,1.433594903,161.9249993,161.932899,164.932899,3
21,21,7,1,22,2,1,tractor,None,None,1,1,0.929701054,171.8295957,171.8334025,174.8334025,3
22,22,7,1,23,1,1,mouse,None,None,2,2,1.032329149,178.3915516,178.3920391,181.3920391,3
23,23,7,1,24,3,1,dice,1,1.224426439,,,,184.4891728,184.4923146,187.4923146,3
24,24,7,1,25,1,0,garlic,None,None,2,2,1.195380577,194.1011126,194.1094755,197.1094755,3
25,25,7,1,26,3,0,cottage,0,0.503055398,1,1,0.991877201,202.808984,202.8099004,205.8099004,3
26,26,7,1,27,2,0,bean,None,None,2,2,1.493107141,210.363458,210.3686038,213.3686038,3
27,27,7,1,28,2,1,fondue,None,None,1,1,0.992369996,218.2190095,218.2273227,221.2273227,3
28,28,7,1,29,1,0,envelope,None,None,1,1,1.272489311,226.1686986,226.1693776,229.1693776,3
29,29,7,1,30,2,1,map,None,None,,,,232.6811051,232.6863627,235.6863627,3
30,30,7,1,31,1,0,feather,None,None,2,2,0.679931772,239.1097103,239.1116797,242.1116797,3
31,31,7,1,32,1,1,kiwi,None,None,2,2,1.22475014,248.7511214,248.7538155,251.7538155,3
32,32,7,1,33,2,0,helmet,None,None,2,2,1.538726653,256.2672443,256.270852,259.270852,3
33,33,7,1,34,3,1,diode,0,0.744674897,1,1,1.283605232,263.6100296,263.6128771,266.6128771,3
34,34,7,1,35,3,1,earphone,0,0.89780812,1,1,1.708539486,271.3974344,271.4049234,274.4049234,3
35,35,7,1,36,1,1,boombox,None,None,1,1,1.514751213,280.0555311,280.0636842,283.0636842,3
36,36,7,1,37,2,0,cereal,None,None,2,2,1.805162649,287.4840801,287.4890445,290.4890445,3
37,37,7,1,38,3,0,eggs,1,1.072266566,1,1,1.608580932,293.7447466,293.7476869,296.7476869,3
38,38,7,1,39,1,1,bleacher,None,None,2,2,0.979990216,302.5093587,302.5147804,305.5147804,3
39,39,7,1,40,2,0,cinnamon,None,None,2,2,1.469604015,308.563603,308.5650683,311.5650683,3
40,40,7,1,41,1,0,hose,None,None,2,2,1.344523664,314.9105433,314.915387,317.915387,3
41,41,7,1,42,1,1,barbell,None,None,2,2,1.883893639,324.1209663,324.1241708,327.1241708,3
42,42,7,1,43,3,1,lipstick,1,0.88174085,1,1,0.746582242,331.7612483,331.7662144,334.7662144,3
43,43,7,1,44,2,0,fork,None,None,1,1,0.781985153,337.9157459,337.9164563,340.9164563,3
